frame |NNN|EEEEE S|TNE TTTT VV|TNE TTTT VV|TNE TTTT VV|
02189 |...|..... .|... -040 ..|... +064 -1|... .... ..|
02190 |+06|..... .|... -028 ..|... +064 ..|... .... ..|
02191 |-0C|..... C|.N. -08B +2|... -1C8 +2|... .... ..|
02192 |...|..... .|.n. +08B ..|tnE .... -C|... -001 ..|
02193 |...|..... .|... .... -1|... .... ..|... .... ..|
02194 |...|..... .|... +068 -1|... .... ..|... +001 ..|
02195 |...|..... .|... -040 ..|... .... ..|... .... ..|
02196 |...|..... .|... -028 ..|... .... ..|... .... -1|
02197 |...|-004F C|.N. -068 +5|.Ne +448 +D|.N. -069 ..|
02198 |...|..... .|... +0D0 ..|... .... +2|.n. +071 ..|
02199 |...|..... .|... .... ..|TnE .... -F|... +009 ..|
-------------------------------------------------------
02200 |...|..... .|.n. .... -5|... .... ..|... +00A ..|
02201 |...|..... .|... -040 ..|... .... ..|... +009 ..|
02202 |...|..... .|... -028 ..|... .... ..|... +009 ..|
02203 |...|+004F 8|.N. -0B2 +2|.Ne -3AC +C|... +009 ..|
02204 |...|..... .|.n. +03E ..|tnE .... -C|... +008 ..|
02205 |...|..... .|... .... -1|... .... ..|... +009 ..|
02206 |...|..... .|... +0DC -1|... .... ..|... +00A ..|
02207 |...|..... .|... -040 ..|... .... ..|... +009 ..|
02208 |...|..... .|... -028 ..|... .... ..|... +009 -1|
02209 |+08|-004F C|.N. -0AC +5|TNe .... +F|.N. -0CC ..|
02210 |...|..... .|.n. +04A ..|.n. .... ..|.n. +068 ..|
02211 |...|..... .|... .... -1|... .... -2|... .... ..|
02212 |-08|..... .|... +0CA -4|t.E .... -D|... +001 ..|
02213 |...|..... .|... -040 ..|... .... ..|... .... ..|
02214 |...|..... .|... -028 ..|... .... ..|... .... ..|
02215 |...|+004F C|.N. -068 +2|TNe .... +C|... .... ..|
02216 |...|..... .|.n. +0D0 ..|tnE .... -C|... -001 ..|
02217 |...|..... .|... .... -1|... .... ..|... .... ..|
02218 |...|..... .|... .... -1|... .... ..|... +001 ..|
02219 |...|..... .|... -040 ..|... .... ..|... .... ..|
02220 |...|..... .|... -028 ..|... .... ..|... .... -1|
02221 |...|..... C|.N. -068 +5|.Ne +891 +D|.N. -08C ..|
02222 |...|..... .|... +0D0 ..|... .... +2|.n. +094 ..|
02223 |...|..... .|... .... ..|TnE .... -F|... +009 ..|
02224 |...|..... .|.n. .... -5|... .... ..|... +00A ..|
02225 |...|..... .|... -040 ..|... .... ..|... +009 ..|
02226 |...|..... .|... -028 ..|... .... ..|... +009 ..|
02227 |...|-004F 8|.N. -0AC +2|.Ne -92D +C|... +009 ..|
02228 |...|..... .|.n. +04A ..|tnE .... -C|... +008 ..|
02229 |...|..... .|... .... -1|... .... ..|... +009 ..|
02230 |...|..... .|... +0CA -1|... .... ..|... +00A ..|
02231 |...|..... .|... -040 ..|... .... ..|... +009 ..|
02232 |...|..... .|... -028 ..|... .... ..|... +009 ..|
02233 |+08|+004F C|.N. -08B +5|TNe +19C +F|.N. -0CC ..|
02234 |...|..... .|.n. +08B ..|.n. .... ..|.n. +068 ..|
02235 |...|..... .|... .... -1|.N. .... -2|... .... ..|
02236 |-02|..... .|... +068 -4|... -29C -2|... +001 ..|
02237 |...|..... .|... -040 ..|... +064 -1|... .... ..|
02238 |+06|..... .|... -028 ..|... +064 ..|... .... ..|
02239 |-0C|..... C|.N. -068 +2|... -12C +2|... .... ..|
02240 |...|..... .|.n. +0D0 ..|tnE .... -C|... -001 ..|
02241 |...|..... .|... .... -1|... .... ..|... .... ..|
02242 |...|..... .|... .... -1|... .... ..|... +001 ..|
02243 |...|..... .|... -040 ..|... .... ..|... .... ..|
02244 |...|..... .|... -028 ..|... .... ..|... .... -1|
02245 |...|-004F C|.N. -0AE +5|.Ne +3AC +D|.N. -08C ..|
02246 |...|..... .|... +046 ..|... .... +2|.n. +094 ..|
02247 |...|..... .|... .... ..|TnE .... -F|... +009 ..|
02248 |...|..... .|.n. +0D0 -5|... .... ..|... +00A ..|
02249 |...|..... .|... -040 ..|... .... ..|... +009 ..|
-------------------------------------------------------
02250 |...|..... .|... -028 ..|... .... ..|... +009 ..|
02251 |...|+004F 8|.N. -08B +2|.Ne -448 +C|... +009 ..|
02252 |...|..... .|.n. +08B ..|tnE .... -C|... +008 ..|
02253 |...|..... .|... .... -1|... .... ..|... +009 ..|
02254 |...|..... .|... +068 -1|... .... ..|... +00A ..|
02255 |...|..... .|... -040 ..|... .... ..|... +009 ..|
02256 |...|..... .|... -028 ..|... .... ..|... +009 ..|
02257 |+08|-004F C|.N. -068 +5|TNe +19C +F|.N. -0CC ..|
02258 |...|..... .|.n. +0D0 ..|.n. .... ..|.n. +068 ..|
02259 |...|..... .|... .... -1|... .... -2|... .... ..|
02260 |-08|..... .|... .... -4|t.E .... -D|... +001 ..|
02261 |...|..... .|... -040 ..|... .... ..|... .... ..|
02262 |...|..... .|... -028 ..|... .... ..|... .... ..|
02263 |...|+004F C|.N. -0AE +2|TNe -09C +C|... .... ..|
02264 |...|..... .|.n. +046 ..|tnE .... -C|... -001 ..|
02265 |...|..... .|... .... -1|... .... ..|... .... ..|
02266 |...|..... .|... +0D0 -1|... .... ..|... +001 ..|
02267 |...|..... .|... -040 ..|... .... ..|... .... ..|
02268 |...|..... .|... -028 ..|... .... ..|... .... -1|
02269 |...|..... C|.N. -08B +5|.Ne +92D +D|.N. -08C ..|
02270 |...|..... .|... +08B ..|... .... +2|.n. +094 ..|
02271 |...|..... .|... .... ..|TnE .... -F|... +009 ..|
02272 |...|..... .|.n. +068 -5|... .... ..|... +00A ..|
02273 |...|..... .|... -040 ..|... .... ..|... +009 ..|
02274 |...|..... .|... -028 ..|... .... ..|... +009 ..|
02275 |+10|-004F 8|.N. -068 +2|.Ne -82D +F|... +009 ..|
02276 |...|..... .|.n. +0D0 ..|.n. .... ..|... +008 ..|
02277 |-08|..... .|... .... -1|.N. .... -2|... +009 ..|
02278 |-08|..... .|... .... -1|... -29C -2|.N. -05F +1|
02279 |+06|..... .|... -040 ..|... +064 -1|.n. +0BA ..|
02280 |+06|..... .|... -028 ..|... +064 ..|... .... ..|
02281 |-04|+004F C|.N. -0A8 +5|... +070 +5|.N. -0BA +5|
02282 |...|..... .|.n. +053 ..|.n. .... ..|.n. +0B4 ..|
02283 |...|..... .|... .... -1|.N. .... -2|... -006 ..|
02284 |-02|..... .|... +0BD -4|... -29C -2|... -005 ..|
02285 |...|..... .|... -040 ..|... +064 -1|... -006 ..|
02286 |+06|..... .|... -028 ..|... +064 ..|... -006 ..|
02287 |-0C|..... C|.N. -08B +2|... -1C8 +2|... -006 ..|
02288 |...|..... .|.n. +08B ..|tnE .... -C|... -007 ..|
02289 |...|..... .|... .... -1|... .... ..|... -006 ..|
02290 |...|..... .|... +068 -1|... .... ..|... -005 ..|
02291 |...|..... .|... -040 ..|... .... ..|... -005 ..|
02292 |...|..... .|... -028 ..|... .... ..|... .... -1|
02293 |+08|-004F C|.N. -068 +5|TNe +19C +F|.N. -0D1 ..|
02294 |...|..... .|.n. +0D0 ..|.n. .... ..|.n. +0D0 ..|
02295 |...|..... .|... .... -1|.N. .... -2|... .... ..|
02296 |-02|..... .|... .... -4|... -29C -2|... +001 ..|
02297 |...|..... .|... -040 ..|... +064 -1|... .... ..|
02298 |+06|..... .|... -028 ..|... +064 ..|... .... ..|
02299 |+04|+004F C|.N. -0A8 +2|... -02C +5|... .... ..|
-------------------------------------------------------
02300 |...|..... .|.n. +053 ..|.n. .... ..|... -001 ..|
02301 |-08|..... .|... .... -1|.N. .... -2|... .... ..|
02302 |-02|..... .|... +0BD -1|... -29C -2|... +001 ..|
02303 |...|..... .|... -040 ..|... +064 -1|... .... ..|
02304 |+06|..... .|... -028 ..|... +064 ..|... .... -1|
02305 |-04|+001D C|.N. +17B +5|... +00F +5|.N. -0EC +4|
02306 |...|..... .|.n. .... ..|.n. .... ..|.n. +04F ..|
02307 |...|..... .|.N. .... -2|... .... -2|... .... ..|
02308 |-01|..... .|... -2D8 +1|t.E .... -D|... +001 ..|
02309 |...|..... .|... -0BA ..|... .... ..|... .... ..|
02310 |...|..... .|... -05D ..|... .... ..|... .... ..|
02311 |-01|..... C|... -01F ..|TNe .... +C|... .... ..|
02312 |...|..... .|... -00F ..|tnE .... -C|... -001 ..|
02313 |...|..... .|... -018 ..|... .... ..|... .... ..|
02314 |-01|..... .|... +15D -1|... .... ..|... +001 ..|
02315 |...|..... .|... -0BA ..|... .... ..|... .... ..|
02316 |...|..... .|... -05D ..|... .... ..|... .... -1|
02317 |-01|-005D C|... -01F ..|TNe +A30 +F|.N. -06A ..|
02318 |...|..... .|... -00F ..|tnE .... -F|.n. +069 ..|
02319 |...|..... .|... -018 ..|... .... ..|... .... ..|
02320 |+01|..... .|... +15D -1|... .... ..|... +001 ..|
02321 |...|..... .|... -0BA ..|... .... ..|... .... ..|
02322 |...|..... .|... -05D ..|... .... ..|... .... ..|
02323 |+01|+005D 8|... -01F -1|TNe -AEA +C|... .... ..|
02324 |...|..... .|... -00F ..|tnE .... -C|... -001 ..|
02325 |...|..... .|... -018 ..|... .... ..|... .... ..|
02326 |+01|..... .|... +15D -1|... .... ..|... +001 ..|
02327 |...|..... .|... -0BA ..|... .... ..|... .... ..|
02328 |...|..... .|... -05D ..|... .... ..|... .... -1|
02329 |+01|..... C|... +00C +5|TNe +1BA +F|.N. -050 ..|
02330 |...|..... .|.n. +0D0 ..|.n. .... ..|.n. +04F ..|
02331 |...|..... .|... .... -1|.N. .... -2|... .... ..|
02332 |-02|..... .|... +03B -4|... -29C -2|... +001 ..|
02333 |...|..... .|... -03B ..|... +064 -1|... .... ..|
02334 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
02335 |-0C|-005D C|.N. -07D +2|... -12C +2|... .... ..|
02336 |...|..... .|.n. +0F8 ..|tnE .... -C|... -001 ..|
02337 |...|..... .|... .... -1|... .... ..|... .... ..|
02338 |...|..... .|... .... -1|... .... ..|... +001 ..|
02339 |...|..... .|... -03B ..|... .... ..|... .... ..|
02340 |...|..... .|... -040 ..|... .... ..|... .... -1|
02341 |...|+005D C|.N. -0D6 +5|.Ne +45E +D|.N. -06A ..|
02342 |...|..... .|... +046 ..|... .... +2|.n. +069 ..|
02343 |...|..... .|... .... ..|TnE .... -F|... .... ..|
02344 |...|..... .|.n. +10B -5|... .... ..|... +001 ..|
02345 |...|..... .|... -03B ..|... .... ..|... .... ..|
02346 |...|..... .|... -040 ..|... .... ..|... .... ..|
02347 |...|-005D 8|.N. -090 +2|.Ne -518 +C|... .... ..|
02348 |...|..... .|.n. +0D0 ..|tnE .... -C|... +005 ..|
02349 |...|..... .|... .... -1|... .... ..|... +006 ..|
-------------------------------------------------------
02350 |...|..... .|... +03B -1|... .... ..|... +007 ..|
02351 |...|..... .|... -03B ..|... .... ..|... +006 ..|
02352 |...|..... .|... -040 ..|... .... ..|... +006 -1|
02353 |+08|+005D C|.N. -07D +5|TNe +1BA +F|.N. -06E -1|
02354 |...|..... .|.n. +0F8 ..|.n. .... ..|.n. +04F ..|
02355 |...|..... .|... .... -1|... .... -2|... .... ..|
02356 |-08|..... .|... .... -4|t.E .... -D|... +001 ..|
02357 |...|..... .|... -03B ..|... .... ..|... .... ..|
02358 |...|..... .|... -040 ..|... .... ..|... .... ..|
02359 |...|..... C|.N. -0D6 +2|TNe -0BA +C|... .... ..|
02360 |...|..... .|.n. +046 ..|tnE .... -C|... -001 ..|
02361 |...|..... .|... .... -1|... .... ..|... .... ..|
02362 |...|..... .|... +10B -1|... .... ..|... +001 ..|
02363 |...|..... .|... -03B ..|... .... ..|... .... ..|
02364 |...|..... .|... -040 ..|... .... ..|... .... -1|
02365 |...|-005D C|.N. -090 +5|.Ne +AEA +D|.N. -06A ..|
02366 |...|..... .|... +0D0 ..|... .... +2|.n. +06F ..|
02367 |...|..... .|... .... ..|TnE .... -F|... +006 ..|
02368 |...|..... .|.n. +03B -5|... .... ..|... +007 ..|
02369 |...|..... .|... -03B ..|... .... ..|... +006 ..|
02370 |...|..... .|... -040 ..|... .... ..|... +006 ..|
02371 |...|+005D 8|.N. -07D +2|.Ne -A30 +C|.N. -06E ..|
02372 |...|..... .|.n. +0F8 ..|tnE .... -C|.n. +04F ..|
02373 |...|..... .|... .... -1|... .... ..|... .... ..|
02374 |...|..... .|... .... -1|... .... ..|... +001 ..|
02375 |...|..... .|... -03B ..|... .... ..|... .... ..|
02376 |...|..... .|... -040 ..|... .... ..|... .... ..|
02377 |+08|..... C|.N. -0DA +5|TNe .... +F|.N. -04B +6|
02378 |...|..... .|.n. +03E ..|.n. .... ..|.n. +053 ..|
02379 |...|..... .|... .... -1|.N. .... -2|... .... ..|
02380 |-02|..... .|... +117 -4|... -29C -2|... +001 ..|
02381 |...|..... .|... -03B ..|... +064 -1|... .... ..|
02382 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
02383 |-0C|-005D C|.N. -090 +2|... -1E6 +2|... .... ..|
02384 |...|..... .|.n. +0D0 ..|tnE .... -C|... -001 ..|
02385 |...|..... .|... .... -1|... .... ..|... .... ..|
02386 |...|..... .|... +03B -1|... .... ..|... +001 ..|
02387 |...|..... .|... -03B ..|... .... ..|... .... ..|
02388 |...|..... .|... -040 ..|... .... ..|... .... -1|
02389 |...|+005D C|.N. -07D +5|.Ne +518 +D|.N. -04A +1|
02390 |...|..... .|... +0F8 ..|... .... +2|.n. +05D ..|
02391 |...|..... .|... .... ..|TnE .... -F|... .... ..|
02392 |...|..... .|.n. .... -5|... .... ..|... +001 ..|
02393 |...|..... .|... -03B ..|... .... ..|... .... ..|
02394 |...|..... .|... -040 ..|... .... ..|... .... ..|
02395 |...|-005D 8|.N. -0DA +2|.Ne -45E +C|... .... ..|
02396 |...|..... .|.n. +03E ..|tnE .... -C|... -001 ..|
02397 |...|..... .|... .... -1|... .... ..|... .... ..|
02398 |...|..... .|... +117 -1|... .... ..|... +001 ..|
02399 |...|..... .|... -03B ..|... .... ..|... .... ..|
-------------------------------------------------------
02400 |...|..... .|... -040 ..|... .... ..|... .... -1|
02401 |+08|+005D C|.N. -0D4 +5|TNe .... +F|.N. -068 -2|
02402 |...|..... .|.n. +04A ..|.n. .... ..|.n. +053 ..|
02403 |...|..... .|... .... -1|... .... -2|... .... ..|
02404 |-08|..... .|... +105 -4|t.E .... -D|... +001 ..|
02405 |...|..... .|... -03B ..|... .... ..|... .... ..|
02406 |...|..... .|... -040 ..|... .... ..|... .... ..|
02407 |...|..... C|.N. -07D +2|TNe .... +C|.N. -04A ..|
02408 |...|..... .|.n. +0F8 ..|tnE .... -C|.n. +05D ..|
02409 |...|..... .|... .... -1|... .... ..|... .... ..|
02410 |...|..... .|... .... -1|... .... ..|... +001 ..|
02411 |...|..... .|... -03B ..|... .... ..|... .... ..|
02412 |...|..... .|... -040 ..|... .... ..|... .... ..|
02413 |...|-005D C|.N. -07D +5|.Ne +A30 +D|.N. -068 -2|
02414 |...|..... .|... +0F8 ..|... .... +2|.n. +053 ..|
02415 |...|..... .|... .... ..|TnE .... -F|... .... ..|
02416 |...|..... .|.n. .... -5|... .... ..|... +001 ..|
02417 |...|..... .|... -03B ..|... .... ..|... .... ..|
02418 |...|..... .|... -040 ..|... .... ..|... .... ..|
02419 |...|+005D 8|.N. -0D4 +2|.Ne -AEA +C|.N. -04A ..|
02420 |...|..... .|.n. +04A ..|tnE .... -C|.n. +05D ..|
02421 |...|..... .|... .... -1|... .... ..|... .... ..|
02422 |...|..... .|... +105 -1|... .... ..|... +001 ..|
02423 |...|..... .|... -03B ..|... .... ..|... .... ..|
02424 |...|..... .|... -040 ..|... .... ..|... .... ..|
02425 |+08|..... C|.N. -090 +5|TNe +1BA +F|.N. -052 +5|
02426 |...|..... .|.n. +0D0 ..|.n. .... ..|.n. +068 ..|
02427 |...|..... .|... .... -1|.N. .... -2|... .... ..|
02428 |-02|..... .|... +03B -4|... -29C -2|... +001 ..|
02429 |...|..... .|... -03B ..|... +064 -1|... .... ..|
02430 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
02431 |-0C|-005D C|.N. -07D +2|... -12C +2|... .... ..|
02432 |...|..... .|.n. +0F8 ..|tnE .... -C|... -001 ..|
02433 |...|..... .|... .... -1|... .... ..|... .... ..|
02434 |...|..... .|... .... -1|... .... ..|... +001 ..|
02435 |...|..... .|... -03B ..|... .... ..|... .... ..|
02436 |...|..... .|... -040 ..|... .... ..|... .... -1|
02437 |...|+005D C|.N. -0D6 +5|.Ne +45E +D|.N. -063 -2|
02438 |...|..... .|... +046 ..|... .... +2|.n. +06E ..|
02439 |...|..... .|... .... ..|TnE .... -F|... .... ..|
02440 |...|..... .|.n. +10B -5|... .... ..|... +001 ..|
02441 |...|..... .|... -03B ..|... .... ..|... .... ..|
02442 |...|..... .|... -040 ..|... .... ..|... .... ..|
02443 |...|-005D 8|.N. -090 +2|.Ne -518 +C|.N. -075 ..|
02444 |...|..... .|.n. +0D0 ..|tnE .... -C|.n. +068 ..|
02445 |...|..... .|... .... -1|... .... ..|... .... ..|
02446 |...|..... .|... +03B -1|... .... ..|... +001 ..|
02447 |...|..... .|... -03B ..|... .... ..|... .... ..|
02448 |...|..... .|... -040 ..|... .... ..|... .... ..|
02449 |+08|+005D C|.N. -07D +5|TNe +1BA +F|.N. -063 +3|
-------------------------------------------------------
02450 |...|..... .|.n. +0F8 ..|.n. .... ..|.n. +06E ..|
02451 |...|..... .|... .... -1|... .... -2|... .... ..|
02452 |-08|..... .|... .... -4|t.E .... -D|... +001 ..|
02453 |...|..... .|... -03B ..|... .... ..|... .... ..|
02454 |...|..... .|... -040 ..|... .... ..|... .... ..|
02455 |...|..... C|.N. -0D6 +2|TNe -0BA +C|... .... ..|
02456 |...|..... .|.n. +046 ..|tnE .... -C|... -001 ..|
02457 |...|..... .|... .... -1|... .... ..|... .... ..|
02458 |...|..... .|... +10B -1|... .... ..|... +001 ..|
02459 |...|..... .|... -03B ..|... .... ..|... .... ..|
02460 |...|..... .|... -040 ..|... .... ..|... .... -1|
02461 |...|-005D C|.N. -090 +5|.Ne +AEA +D|.N. -075 +1|
02462 |...|..... .|... +0D0 ..|... .... +2|.n. +068 ..|
02463 |...|..... .|... .... ..|TnE .... -F|... .... ..|
02464 |...|..... .|.n. +03B -5|... .... ..|... +001 ..|
02465 |...|..... .|... -03B ..|... .... ..|... .... ..|
02466 |...|..... .|... -040 ..|... .... ..|... .... ..|
02467 |...|+005D 8|.N. -07D +2|.Ne -A30 +C|... .... ..|
02468 |...|..... .|.n. +0F8 ..|tnE .... -C|... -001 ..|
02469 |...|..... .|... .... -1|... .... ..|... .... ..|
02470 |...|..... .|... .... -1|... .... ..|... +001 ..|
02471 |...|..... .|... -03B ..|... .... ..|... .... ..|
02472 |...|..... .|... -040 ..|... .... ..|... .... -1|
02473 |+08|..... C|.N. -0D0 +5|TNe .... +F|.N. -063 -2|
02474 |...|..... .|.n. +053 ..|.n. .... ..|.n. +06E ..|
02475 |...|..... .|... .... -1|.N. .... -2|... .... ..|
02476 |-02|..... .|... +0F8 -4|... -29C -2|... +001 ..|
02477 |...|..... .|... -03B ..|... +064 -1|... .... ..|
02478 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
02479 |-0C|-005D C|.N. -090 +2|... -1E6 +2|.N. -075 ..|
02480 |...|..... .|.n. +0D0 ..|tnE .... -C|.n. +068 ..|
02481 |...|..... .|... .... -1|... .... ..|... .... ..|
02482 |...|..... .|... +03B -1|... .... ..|... +001 ..|
02483 |...|..... .|... -03B ..|... .... ..|... .... ..|
02484 |...|..... .|... -040 ..|... .... ..|... .... ..|
02485 |+08|+005D C|.N. -07D +5|TNe +1BA +F|.N. -063 -2|
02486 |...|..... .|.n. +0F8 ..|.n. .... ..|.n. +06E ..|
02487 |...|..... .|... .... -1|.N. .... -2|... .... ..|
02488 |-02|..... .|... .... -4|... -29C -2|... +001 ..|
02489 |...|..... .|... -03B ..|... +064 -1|... .... ..|
02490 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
02491 |-04|-00BA C|.N. -0D0 +2|... -02C +5|.N. -075 ..|
02492 |...|..... .|.n. +053 ..|.n. .... ..|.n. +068 ..|
02493 |...|..... .|... .... -1|.N. .... -2|... .... ..|
02494 |-02|..... .|... +0F8 -1|... -29C -2|... +001 ..|
02495 |...|..... .|... -03B ..|... +064 -1|... .... ..|
02496 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
02497 |-04|+005D C|.N. -0DD +5|... -02C +5|.N. -075 +5|
02498 |...|..... .|.n. +037 ..|.n. .... ..|.n. +05D ..|
02499 |...|..... .|... .... -1|... .... -2|... .... ..|
-------------------------------------------------------
02500 |-08|..... .|... +121 -4|t.E .... -D|... +001 ..|
02501 |...|..... .|... -03B ..|... .... ..|... .... ..|
02502 |...|..... .|... -040 ..|... .... ..|... .... ..|
02503 |...|+005D C|.N. -07D +2|TNe .... +C|... .... ..|
02504 |...|..... .|.n. +0F8 ..|tnE .... -C|... -001 ..|
02505 |...|..... .|... .... -1|... .... ..|... .... ..|
02506 |...|..... .|... .... -1|... .... ..|... +001 ..|
02507 |...|..... .|... -03B ..|... .... ..|... .... ..|
02508 |...|..... .|... -040 ..|... .... ..|... .... -1|
02509 |...|..... C|.N. -07D +5|.Ne +A30 +D|.N. -07D ..|
02510 |...|..... .|... +0F8 ..|... .... +2|.n. +07C ..|
02511 |...|..... .|... .... ..|TnE .... -F|... .... ..|
02512 |...|..... .|.n. .... -5|... .... ..|... +001 ..|
02513 |...|..... .|... -03B ..|... .... ..|... .... ..|
02514 |...|..... .|... -040 ..|... .... ..|... .... ..|
02515 |...|-005D 8|.N. -0DD +2|.Ne -AEA +C|... .... ..|
02516 |...|..... .|.n. +037 ..|tnE .... -C|... -001 ..|
02517 |...|..... .|... .... -1|... .... ..|... .... ..|
02518 |...|..... .|... +121 -1|... .... ..|... +001 ..|
02519 |...|..... .|... -03B ..|... .... ..|... .... ..|
02520 |...|..... .|... -040 ..|... .... ..|... .... -1|
02521 |+08|+005D C|.N. -090 +5|TNe +1BA +F|.N. -05E ..|
02522 |...|..... .|.n. +0D0 ..|.n. .... ..|.n. +05D ..|
02523 |...|..... .|... .... -1|.N. .... -2|... .... ..|
02524 |-02|..... .|... +03B -4|... -29C -2|... +001 ..|
02525 |...|..... .|... -03B ..|... +064 -1|... .... ..|
02526 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
02527 |-0C|..... C|.N. -07D +2|... -12C +2|... .... ..|
02528 |...|..... .|.n. +0F8 ..|tnE .... -C|... +002 ..|
02529 |...|..... .|... .... -1|... .... ..|... +003 ..|
02530 |...|..... .|... .... -1|... .... ..|... +004 ..|
02531 |...|..... .|... -03B ..|... .... ..|... +003 ..|
02532 |...|..... .|... -040 ..|... .... ..|... +003 -1|
02533 |...|-005D C|.N. -0D6 +5|.Ne +45E +D|.N. -06D ..|
02534 |...|..... .|... +046 ..|... .... +2|.n. +05D ..|
02535 |...|..... .|... .... ..|TnE .... -F|... .... ..|
02536 |...|..... .|.n. +10B -5|... .... ..|... +001 ..|
02537 |...|..... .|... -03B ..|... .... ..|... .... ..|
02538 |...|..... .|... -040 ..|... .... ..|... .... ..|
02539 |...|+005D 8|.N. -090 +2|.Ne -518 +C|... .... ..|
02540 |...|..... .|.n. +0D0 ..|tnE .... -C|... -001 ..|
02541 |...|..... .|... .... -1|... .... ..|... .... ..|
02542 |...|..... .|... +03B -1|... .... ..|... +001 ..|
02543 |...|..... .|... -03B ..|... .... ..|... .... ..|
02544 |...|..... .|... -040 ..|... .... ..|... .... -1|
02545 |+08|-005D C|.N. -07D +5|TNe +1BA +F|.N. -07D ..|
02546 |...|..... .|.n. +0F8 ..|.n. .... ..|.n. +07C ..|
02547 |...|..... .|... .... -1|... .... -2|... .... ..|
02548 |-08|..... .|... .... -4|t.E .... -D|... +001 ..|
02549 |...|..... .|... -03B ..|... .... ..|... .... ..|
-------------------------------------------------------
02550 |...|..... .|... -040 ..|... .... ..|... .... ..|
02551 |...|+005D C|.N. -0D6 +2|TNe -0BA +C|... .... ..|
02552 |...|..... .|.n. +046 ..|tnE .... -C|... -001 ..|
02553 |...|..... .|... .... -1|... .... ..|... .... ..|
02554 |...|..... .|... +10B -1|... .... ..|... +001 ..|
02555 |...|..... .|... -03B ..|... .... ..|... .... ..|
02556 |...|..... .|... -040 ..|... .... ..|... .... -1|
02557 |...|..... C|.N. -090 +5|.Ne +AEA +D|.N. -05E ..|
02558 |...|..... .|... +0D0 ..|... .... +2|.n. +05D ..|
02559 |...|..... .|... .... ..|TnE .... -F|... .... ..|
02560 |...|..... .|.n. +03B -5|... .... ..|... +001 ..|
02561 |...|..... .|... -03B ..|... .... ..|... .... ..|
02562 |...|..... .|... -040 ..|... .... ..|... .... ..|
02563 |...|-005D 8|.N. -07D +2|.Ne -A30 +C|... .... ..|
02564 |...|..... .|.n. +0F8 ..|tnE .... -C|... +005 ..|
02565 |...|..... .|... .... -1|... .... ..|... +006 ..|
02566 |...|..... .|... .... -1|... .... ..|... +007 ..|
02567 |...|..... .|... -03B ..|... .... ..|... +006 ..|
02568 |...|..... .|... -040 ..|... .... ..|... +006 ..|
02569 |+08|+005D C|.N. -0DA +5|TNe .... +F|.N. -07C ..|
02570 |...|..... .|.n. +03E ..|.n. .... ..|.n. +05D ..|
02571 |...|..... .|... .... -1|.N. .... -2|... .... ..|
02572 |-02|..... .|... +117 -4|... -29C -2|... +001 ..|
02573 |...|..... .|... -03B ..|... +064 -1|... .... ..|
02574 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
02575 |-0C|..... C|.N. -090 +2|... -1E6 +2|... .... ..|
02576 |...|..... .|.n. +0D0 ..|tnE .... -C|... -001 ..|
02577 |...|..... .|... .... -1|... .... ..|... .... ..|
02578 |...|..... .|... +03B -1|... .... ..|... +001 ..|
02579 |...|..... .|... -03B ..|... .... ..|... .... ..|
02580 |...|..... .|... -040 ..|... .... ..|... .... -1|
02581 |...|-005D C|.N. -07D +5|.Ne +518 +D|.N. -07D ..|
02582 |...|..... .|... +0F8 ..|... .... +2|.n. +07C ..|
02583 |...|..... .|... .... ..|TnE .... -F|... .... ..|
02584 |...|..... .|.n. .... -5|... .... ..|.N. -07C +1|
02585 |...|..... .|... -03B ..|... .... ..|.n. +03E ..|
02586 |...|..... .|... -040 ..|... .... ..|... .... ..|
02587 |...|+005D 8|.N. -0DA +2|.Ne -45E +C|.N. -045 +1|
02588 |...|..... .|.n. +03E ..|tnE .... -C|.n. +038 ..|
02589 |...|..... .|... .... -1|... .... ..|... .... ..|
02590 |...|..... .|... +117 -1|... .... ..|.N. -03B +1|
02591 |...|..... .|... -03B ..|... .... ..|.n. +035 ..|
02592 |...|..... .|... -040 ..|... .... ..|... .... ..|
02593 |+08|-005D C|.N. -0D4 +5|TNe .... +F|.N. -03A +3|
02594 |...|..... .|.n. +04A ..|.n. .... ..|.n. +02E ..|
02595 |...|..... .|... .... -1|... .... -2|... .... -1|
02596 |-08|..... .|... +105 -4|t.E .... -D|... .... ..|
02597 |...|..... .|... -03B ..|... .... ..|... .... -1|
02598 |...|..... .|... -040 ..|... .... ..|... .... ..|
02599 |...|+005D C|.N. -07D +2|TNe .... +C|... .... -1|
-------------------------------------------------------
02600 |...|..... .|.n. +0F8 ..|tnE .... -C|... .... ..|
02601 |...|..... .|... .... -1|... .... ..|... .... -1|
02602 |...|..... .|... .... -1|... .... ..|... .... ..|
02603 |...|..... .|... -03B ..|... .... ..|... .... -1|
02604 |...|..... .|... -040 ..|... .... ..|... .... ..|
02605 |...|..... C|.N. -07D +5|.Ne +A30 +D|... -03E -1|
