frame |NNN|EEEEE S|TNE TTTT VV|TNE TTTT VV|TNE TTTT VV|
00100 |...|..... .|... .... -1|... .... ..|... +053 ..|
00101 |...|..... .|... .... ..|... .... ..|... -028 ..|
00102 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00103 |...|..... .|... +001 ..|... .... ..|... +053 -1|
00104 |...|..... .|... .... ..|... .... ..|... -028 ..|
00105 |...|..... .|... .... ..|... .... ..|... -02B -1|
00106 |...|..... .|... .... -1|... .... ..|... +053 ..|
00107 |...|..... .|... .... ..|... .... ..|... -028 ..|
00108 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00109 |...|..... .|... -011 ..|... .... ..|.N. +053 +1|
00110 |...|..... .|... -03E ..|... .... ..|.n. -028 ..|
00111 |...|..... .|... +03E -1|... .... ..|... -02B -1|
00112 |...|..... .|... .... ..|... .... ..|... +053 ..|
00113 |...|..... .|... .... ..|... .... ..|... -028 ..|
00114 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00115 |...|..... .|... +001 ..|... .... ..|... +053 -1|
00116 |...|..... .|... .... ..|... .... ..|... -028 ..|
00117 |...|..... .|... .... ..|... .... ..|... -02B ..|
00118 |...|..... .|... .... -1|... .... ..|... +053 ..|
00119 |...|..... .|... .... ..|... .... ..|... -028 -1|
00120 |...|..... .|... -001 ..|... .... ..|... -02B ..|
00121 |+01|..... .|... +013 +3|tNe .... +6|.N. -02A +3|
00122 |...|..... .|... -04A ..|TnE .... -6|.n. -013 ..|
00123 |...|..... .|... +04A -1|... .... ..|... -016 -1|
00124 |...|..... .|... .... ..|... .... ..|... +029 ..|
00125 |...|..... .|... .... ..|... .... ..|... -013 ..|
00126 |...|..... .|... -001 -1|... .... ..|... -016 ..|
00127 |...|..... .|... +001 ..|... .... ..|... +029 -1|
00128 |...|..... .|... .... ..|... .... ..|... -013 ..|
00129 |...|..... .|... .... ..|... .... ..|... -016 ..|
00130 |...|..... .|... .... -1|... .... ..|... +029 ..|
00131 |...|..... .|... .... ..|... .... ..|... -013 -1|
00132 |...|..... .|... -001 ..|... .... ..|... -016 ..|
00133 |...|..... .|... -005 +8|tNe -6CC +6|.N. +0A6 +5|
00134 |...|..... .|... .... ..|TnE .... -6|.n. -028 ..|
00135 |...|..... .|... .... -1|... .... ..|... -02B -1|
00136 |...|..... .|... .... -1|... .... ..|... +053 ..|
00137 |...|..... .|... .... ..|... .... ..|... -028 ..|
00138 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00139 |...|..... .|... +001 ..|... .... ..|... +053 -1|
00140 |...|..... .|... .... ..|... .... ..|... -028 ..|
00141 |...|..... .|... .... ..|... .... ..|... -02B -1|
00142 |...|..... .|... .... -1|... .... ..|... +053 ..|
00143 |...|..... .|... .... ..|... .... ..|... -028 ..|
00144 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00145 |+01|..... .|... +007 ..|tNe +6CC +6|.N. +053 +1|
00146 |...|..... .|... .... ..|TnE .... -6|.n. -028 ..|
00147 |...|..... .|... .... -1|... .... ..|... -02B -1|
00148 |...|..... .|... .... ..|... .... ..|... +053 ..|
00149 |...|..... .|... .... ..|... .... ..|... -028 ..|
-------------------------------------------------------
00150 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00151 |...|..... .|... +001 ..|... .... ..|... +053 -1|
00152 |...|..... .|... .... ..|... .... ..|... -028 ..|
00153 |...|..... .|... .... ..|... .... ..|... -02B ..|
00154 |...|..... .|... .... -1|... .... ..|... +053 ..|
00155 |...|..... .|... .... ..|... .... ..|... -028 -1|
00156 |...|..... .|... -001 ..|... .... ..|... -02B ..|
00157 |...|..... .|... -005 +3|... .... ..|.N. +053 +3|
00158 |...|..... .|... .... ..|... .... ..|.n. -028 ..|
00159 |...|..... .|... .... -1|... .... ..|... -02B -1|
00160 |...|..... .|... .... ..|... .... ..|... +053 ..|
00161 |...|..... .|... .... ..|... .... ..|... -028 ..|
00162 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00163 |...|..... .|... +001 ..|... .... ..|... +053 -1|
00164 |...|..... .|... .... ..|... .... ..|... -028 ..|
00165 |...|..... .|... .... ..|... .... ..|... -02B ..|
00166 |...|..... .|... .... -1|... .... ..|... +053 ..|
00167 |...|..... .|... .... ..|... .... ..|... -028 -1|
00168 |...|..... .|... -001 ..|... .... ..|... -02B ..|
00169 |+01|..... .|... +014 +8|tNe .... +6|.N. -02A +5|
00170 |...|..... .|... .... ..|TnE .... -6|.n. -013 ..|
00171 |...|..... .|... .... -1|... .... ..|... -016 -1|
00172 |...|..... .|... .... -1|... .... ..|... +029 ..|
00173 |...|..... .|... .... ..|... .... ..|... -013 ..|
